Ratio,mA1,sA1,iA1,mA2,sA2,iA2,mA3,sA3,iA3,mA4,sA4,iA4,mA11,sA11,iA11,mA12,sA12,iA12,mA13,sA13,iA13,mA14,sA14,iA14,mA21,sA21,iA21,mA22,sA22,iA22,mA23,sA23,iA23,mA24,sA24,iA24,mA31,sA31,iA31,mA32,sA32,iA32,mA33,sA33,iA33,mA34,sA34,iA34,mA41,sA41,iA41,mA42,sA42,iA42,mA43,sA43,iA43,mA44,sA44,iA44,Label
33.40000153,99.34,34.9,37.79,-0.01,9.56,9.66,-0.19,7.18,4.61,0.03,2.52,2.47,197.93,63.96,70.27,-0.3,22.99,21.71,2.4,11.61,14.87,0.03,10.56,13.08,-0.01,6.41,4.97,0.82,15.71,16.36,0.04,3.51,3.54,0.56,7.99,9.7,-0.33,8.5,3.68,-0.14,3.16,3.29,0.13,9.89,8.14,-0.09,4.56,4.99,-0.01,1.14,0.84,-0.16,2.42,2.36,0.04,2.1,1.82,0.16,3.7,4.46,1
122,119.51,25.22,31.66,-0.09,11.71,13.06,0.01,6.19,6.47,0.03,2.94,3.01,241.65,40.33,49.88,-1.52,24.25,27.62,-0.79,12.46,17.05,0.97,13.15,16.54,-0.03,8.5,10,-0.05,18.92,20.94,0.4,5.19,6.3,-0.22,9.51,12.3,-0.04,5.64,4.64,0.09,3.77,3.91,0.73,8.12,9.18,-0.78,6.24,6.51,-0.03,1.74,1.75,-0.13,2.9,3.05,0.09,2.58,3.09,0.44,4.03,4.64,1
156,143.93,28.03,31.54,-0.13,10.27,11.71,0.07,5.1,4.76,0.07,2.85,2.46,291.63,44.63,41.31,-2.31,28.4,37.54,0.15,13.29,17.47,-0.17,12.97,15.13,0.33,8.25,8.29,0.59,15.95,18.7,0.03,3.21,3.72,0.03,9.41,13.48,-0.05,5,4.17,0.14,3.71,3.05,0.21,6.25,6.94,-0.36,5.06,5.7,0.06,1.5,1.41,0.15,2.91,2.74,0.12,1.98,2.23,-0.72,4.2,5.58,1
155,137.74,30.37,34.27,-0.2,11.81,12.91,-0.03,5.61,5.21,-0.07,2.92,3.12,280.49,51.4,58.6,1.54,27.12,32.49,0.55,13.59,15.89,-0.68,11.19,13.64,-0.24,10.02,8.89,0.83,18.73,20.09,0.26,4.94,5.58,0.07,9.04,11.32,0.18,5.49,3.85,-0.11,2.9,3.06,-0.47,7.65,8.58,-0.36,5.33,6.97,0.05,1.64,1.42,-0.22,2.62,2.43,-0.25,2.74,3,0.3,4.12,4.84,1
5.059999943,184.87,43.53,66.72,0.86,15.77,20.37,-0.05,6.34,6.96,0.08,5.25,6.36,370.18,81.62,135.36,-1.27,23.54,30.06,1.21,14.63,19.74,-0.77,12.01,15.77,1.26,18.15,24.06,-1.53,20.85,27.36,-0.59,9.44,12.83,0.83,11.07,14.81,0.31,5.34,4.69,-0.16,3.74,3.97,1.01,8.25,9.61,0.4,6.92,9.93,-0.33,3.16,3.39,-0.15,3.83,4.37,0.07,6.02,8.42,-0.62,7,8.79,1
5.329999924,157.97,31.15,46.37,0.21,12.19,15.85,0.02,4.84,5.55,-0.2,4.21,5.31,317.07,58,85.69,-2.27,17.47,23.84,0.46,10.99,14.42,0.23,9.5,13.45,1.13,12.97,16.84,0.99,16.59,23.23,0.03,7.7,10.36,0.68,9.46,12.19,0.08,3.48,3.64,0.22,2.72,3.34,-0.09,6.26,7.25,0.09,5.89,6.6,-0.54,2.72,3.33,-0.18,3.1,3.78,0.11,5.18,7.1,0.08,5.2,6.62,1
6.309999943,158.91,31.65,45.87,0.8,15.71,19.33,-0.04,7.01,7.95,0.08,5.46,7.2,316.96,57.66,83.43,-1.91,18.75,28.65,0.87,13.23,16.13,-0.97,12.4,15.68,1.69,17.13,16.64,-0.3,21.78,23.63,-0.07,9.64,12.89,-0.7,11.18,15.18,-0.17,6.12,5.31,-0.25,4.45,5.3,1.24,8.92,10.96,-0.53,7.46,9.72,0.15,4,4.55,0.05,3.91,4.88,0.23,6.23,8.76,0.38,7.01,9.33,1
5.25,158.8,32.83,47.31,0.37,13.08,17.22,0.15,6.31,7.36,0.03,4.51,5.81,314.79,57.63,87.61,1.33,23.69,31.41,0.57,15.53,20.02,2.09,13.58,18.34,0.71,12.63,16.41,-1.4,18.5,27.54,0.48,7.85,9.08,-1.06,10.67,15.35,0.19,5.08,5.07,-0.24,3.41,4.12,0.41,8.82,11.35,-0.12,6.53,9.71,0.24,2.74,3.01,0.4,3.27,3.88,0.56,4.73,6.31,-0.93,6.36,8.24,1
5.409999847,152.25,32.97,48.63,0.6,14.31,17.38,0.19,6.6,8.36,-0.09,5.71,7.5,304.06,60.17,97.7,-3.96,18.61,25.09,-0.08,14.24,18.55,-0.21,13.14,18.07,1.86,14.79,18.96,-3.62,19.22,22.47,0.19,9.48,11.74,-0.8,10.96,14.93,-0.15,4.52,5.47,0.16,4.08,4.74,0.07,8.38,10.39,0.05,8.15,11.8,-0.03,4.16,5.37,-0.03,4.33,5.01,0.03,6.46,8.61,0.09,7.26,10.33,1
3.819999933,174.04,31.41,44.65,2.12,13.79,17.25,0.09,5.77,6.58,-0.05,4.59,5.87,358.22,55.69,82.93,-2.44,22.67,31.19,-0.9,13.3,18.05,-0.58,12.03,15.24,3.29,16.29,20.49,-0.85,18.09,22.63,0.41,8.08,10.4,0.46,10.05,12.61,-0.04,4.94,4.86,0.09,3.47,3.8,-1.08,7.39,8.46,-0.82,6.36,8.36,-0.22,3.25,3.93,-0.25,3.5,3.92,-0.65,4.66,5.96,0.39,6.27,7.88,1
